2024-09-18 02:00:00.722 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-09-18 02:00:00.722 [info] Added views:workbench.panel.output in workbench.panel.output
2024-09-18 02:00:00.722 [info] Added views:terminal in terminal
2024-09-18 02:00:00.722 [info] Added views:outline in workbench.view.explorer
2024-09-18 02:00:00.722 [info] Added views:workbench.scm in workbench.view.scm
2024-09-18 02:00:00.722 [info] Added views:workbench.view.search in workbench.view.search
2024-09-18 02:00:00.722 [info] Added views:timeline in workbench.view.explorer
2024-09-18 02:00:00.722 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-09-18 02:00:01.224 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-09-18 02:00:01.532 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-09-18 02:00:01.645 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-09-18 02:03:12.818 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-18 02:03:12.823 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-09-18 02:03:13.075 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2024-09-18 02:04:42.836 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 02:04:42.852 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 02:04:48.869 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 02:04:48.882 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-18 02:04:49.946 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 02:04:49.953 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 02:06:45.713 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 02:06:45.733 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-18 02:07:06.555 [info] Added views:dockerContainers,dockerImages,dockerRegistries,dockerNetworks,dockerVolumes,vscode-docker.views.dockerContexts,vscode-docker.views.help in workbench.view.extension.dockerView
2024-09-18 02:07:12.196 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 02:07:12.207 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 02:07:53.437 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 02:07:53.449 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-18 03:15:28.204 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 03:15:28.216 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 03:18:45.495 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 03:18:45.510 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-18 03:18:54.506 [info] Removed views:workbench.panel.repl.view from workbench.panel.repl
2024-09-18 03:18:54.834 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
